,start date,end date,start year,start month,start day,end year,end month,end day,C mean,C geometric mean,C median:,C std,C geometric std,C variance,C N
0,2024-03-05,2024-03-12,2024,03,05,2024,03,12,16.867567,16.221779,16.044632,4.80562,1.322631,23.093985,12692
1,2024-03-13,2024-03-20,2024,03,13,2024,03,20,14.219182,13.870381,13.324938,3.5333228,1.2381326,12.48437,18898
2,2024-03-21,2024-03-28,2024,03,21,2024,03,28,16.679651,16.340958,15.888277,3.6193693,1.2185216,13.0998335,21214
3,2024-03-29,2024-04-05,2024,03,29,2024,04,05,18.15682,17.66741,17.427263,4.335702,1.2625443,18.79831,19758
4,2024-04-06,2024-04-13,2024,04,06,2024,04,13,17.355095,16.6907,17.093302,4.9549017,1.3228409,24.551052,19781
5,2024-04-14,2024-04-21,2024,04,14,2024,04,21,14.387666,14.007521,14.249102,3.5105333,1.2565047,12.323844,17565
6,2024-04-22,2024-04-29,2024,04,22,2024,04,29,19.063429,18.67233,18.393436,4.0428486,1.2223102,16.344624,14189
7,2024-04-30,2024-05-07,2024,04,30,2024,05,07,20.744389,19.917387,20.365269,5.888069,1.336698,34.669357,6203
8,2024-05-08,2024-05-15,2024,05,08,2024,05,15,20.96252,20.53691,20.040758,4.432161,1.2208644,19.644049,5327
9,2024-05-16,2024-05-23,2024,05,16,2024,05,23,18.897919,17.636663,18.973072,6.4132237,1.4867969,41.12944,2774
10,2024-05-24,2024-05-31,2024,05,24,2024,05,31,10.774683,10.696406,10.5271845,1.4045625,1.1251239,1.9727957,19691
11,2024-06-01,2024-06-08,2024,06,01,2024,06,08,13.848558,13.621667,13.189871,2.8818717,1.1882448,8.305184,3514
12,2024-06-09,2024-06-16,2024,06,09,2024,06,16,14.708909,14.351807,13.599731,3.9847457,1.224395,15.878199,6747
13,2024-06-17,2024-06-24,2024,06,17,2024,06,24,12.394354,12.270322,11.994085,2.0032976,1.143648,4.0132008,16657
14,2024-06-25,2024-07-02,2024,06,25,2024,07,02,15.262222,14.892769,14.767871,3.6261034,1.2406405,13.148626,12923
15,2024-07-03,2024-07-10,2024,07,03,2024,07,10,14.193951,14.085601,13.903078,1.8865296,1.1277997,3.5589938,9354
16,2024-07-11,2024-07-18,2024,07,11,2024,07,18,25.109007,24.507784,23.318708,5.9578485,1.2372894,35.49596,1167
17,2024-07-19,2024-07-26,2024,07,19,2024,07,26,16.113388,15.792472,15.448438,3.4974473,1.2148234,12.232137,6579
18,2024-07-27,2024-08-03,2024,07,27,2024,08,03,21.217842,20.316353,20.577362,6.4428735,1.3396273,41.51062,5633
19,2024-08-04,2024-08-11,2024,08,04,2024,08,11,17.207836,16.881388,16.518652,3.585239,1.2110409,12.853939,11997
20,2024-08-12,2024-08-19,2024,08,12,2024,08,19,17.162424,16.916933,16.68498,3.1721609,1.1788094,10.062605,15518
21,2024-08-20,2024-08-27,2024,08,20,2024,08,27,15.341579,15.098873,15.047543,2.8422737,1.1938537,8.07852,25566
