,start date,end date,start year,start month,start day,end year,end month,end day,PAR mean,PAR geometric mean,PAR median:,PAR std,PAR geometric std,PAR variance,PAR N
0,2024-03-05,2024-03-12,2024,03,05,2024,03,12,1445.5745,1437.8895,1461.7,144.76498,1.1107368,20956.898,26064
1,2024-03-13,2024-03-20,2024,03,13,2024,03,20,1633.8907,1623.7657,1676.775,174.3745,1.120886,30406.463,26064
2,2024-03-21,2024-03-28,2024,03,21,2024,03,28,1681.9077,1665.1354,1751.125,218.71826,1.1596831,47837.676,26064
3,2024-03-29,2024-04-05,2024,03,29,2024,04,05,1731.7172,1723.8112,1763.1,158.05893,1.1030897,24982.627,26064
4,2024-04-06,2024-04-13,2024,04,06,2024,04,13,1653.9943,1650.2064,1662.15,110.31395,1.0706687,12169.168,26064
5,2024-04-14,2024-04-21,2024,04,14,2024,04,21,1678.4137,1675.3527,1687.3,99.45864,1.0629545,9892.021,26064
6,2024-04-22,2024-04-29,2024,04,22,2024,04,29,1688.1069,1682.3486,1706.95,135.28407,1.0877148,18301.78,26064
7,2024-04-30,2024-05-07,2024,04,30,2024,05,07,1701.8733,1698.5254,1706.75,105.7742,1.0651363,11188.182,26064
8,2024-05-08,2024-05-15,2024,05,08,2024,05,15,1617.7948,1614.3923,1620.2,104.51437,1.0672297,10923.255,26064
9,2024-05-16,2024-05-23,2024,05,16,2024,05,23,1633.4241,1629.8947,1632.9,106.801956,1.0682253,11406.657,26064
10,2024-05-24,2024-05-31,2024,05,24,2024,05,31,1920.7513,1914.5997,1969.4,150.60645,1.0843506,22682.303,25950
11,2024-06-01,2024-06-08,2024,06,01,2024,06,08,1647.5197,1640.9557,1653.65,145.0842,1.0942533,21049.426,26064
12,2024-06-09,2024-06-16,2024,06,09,2024,06,16,1731.3739,1725.0864,1750.3,145.35341,1.0898572,21127.611,26064
13,2024-06-17,2024-06-24,2024,06,17,2024,06,24,1640.6135,1633.483,1654.55,149.98695,1.099042,22496.088,26064
14,2024-06-25,2024-07-02,2024,06,25,2024,07,02,1689.6189,1684.2485,1688.35,133.21129,1.0836828,17745.248,26064
15,2024-07-03,2024-07-10,2024,07,03,2024,07,10,1759.5043,1755.567,1760.95,115.4951,1.0699949,13339.118,26064
16,2024-07-11,2024-07-18,2024,07,11,2024,07,18,1523.4276,1518.1167,1532.375,125.28482,1.0879952,15696.287,26064
17,2024-07-19,2024-07-26,2024,07,19,2024,07,26,1678.938,1675.5979,1685.15,104.91897,1.0655205,11007.99,26064
18,2024-07-27,2024-08-03,2024,07,27,2024,08,03,1649.7673,1646.6442,1655.5,100.99866,1.0637164,10200.7295,26064
19,2024-08-04,2024-08-11,2024,08,04,2024,08,11,1711.2445,1706.6008,1715.95,124.571434,1.0770622,15518.043,26064
20,2024-08-12,2024-08-19,2024,08,12,2024,08,19,1670.3129,1666.2416,1679.675,112.6946,1.0738531,12700.073,26064
