,start date,end date,start year,start month,start day,end year,end month,end day,POC mean,POC geometric mean,POC median:,POC std,POC geometric std,POC variance,POC N
0,2024-03-05,2024-03-12,2024,03,05,2024,03,12,30.742008,30.458393,30.0,4.3032646,1.1440552,18.518085,12692
1,2024-03-13,2024-03-20,2024,03,13,2024,03,20,30.955954,30.812885,30.600098,3.0112536,1.1006105,9.067649,18899
2,2024-03-21,2024-03-28,2024,03,21,2024,03,28,29.325066,29.12531,28.799805,3.4748938,1.1233184,12.074887,21214
3,2024-03-29,2024-04-05,2024,03,29,2024,04,05,31.203386,31.041765,31.0,3.1937592,1.1071358,10.200098,19758
4,2024-04-06,2024-04-13,2024,04,06,2024,04,13,31.336763,31.206125,31.199707,2.8894112,1.0954093,8.348697,19781
5,2024-04-14,2024-04-21,2024,04,14,2024,04,21,28.198273,27.976402,28.0,3.596729,1.1331054,12.93646,17565
6,2024-04-22,2024-04-29,2024,04,22,2024,04,29,29.784283,29.648552,29.600098,2.875727,1.0998801,8.269806,14189
7,2024-04-30,2024-05-07,2024,04,30,2024,05,07,31.594456,31.42057,31.799805,3.2903829,1.1116146,10.826619,6203
8,2024-05-08,2024-05-15,2024,05,08,2024,05,15,31.959352,31.863543,31.600098,2.4957829,1.0803361,6.2289324,5327
9,2024-05-16,2024-05-23,2024,05,16,2024,05,23,30.193556,30.06635,30.399902,2.753765,1.0967458,7.5832224,2774
10,2024-05-24,2024-05-31,2024,05,24,2024,05,31,24.743237,24.623434,24.199707,2.6411526,1.1002197,6.9756875,19691
11,2024-06-01,2024-06-08,2024,06,01,2024,06,08,27.052263,26.934767,26.399902,2.6525178,1.0955813,7.03585,3514
12,2024-06-09,2024-06-16,2024,06,09,2024,06,16,27.240072,26.812275,25.600098,6.5525594,1.1695005,42.936035,6747
13,2024-06-17,2024-06-24,2024,06,17,2024,06,24,25.900293,25.4372,24.399902,6.867062,1.1794175,47.15654,16657
14,2024-06-25,2024-07-02,2024,06,25,2024,07,02,28.551352,28.45411,28.199707,2.4146,1.0851655,5.830292,12923
15,2024-07-03,2024-07-10,2024,07,03,2024,07,10,27.462807,27.408148,27.199707,1.7628527,1.0646542,3.1076496,9354
16,2024-07-11,2024-07-18,2024,07,11,2024,07,18,36.218414,36.018394,35.199707,3.9027963,1.1097856,15.231819,1167
17,2024-07-19,2024-07-26,2024,07,19,2024,07,26,29.695475,29.561256,29.199707,2.9628494,1.0977138,8.778476,6579
