,start date,end_date,start year,start month,start day,end year,end month,end day,POC-a mean,POC geometric mean,POC median,POC std,POC geometric std,POC variance,POC N,POC IQR
0,20120117,20120124,2012,01,17,2012,01,24,43.1099,42.21054,40.199707,9.889736,1.2159209,97.80688,23691,7.60009765625
1,20120125,20120201,2012,01,25,2012,02,01,43.32527,42.34902,39.600098,10.548812,1.2220274,111.277435,26046,5.39990234375
2,20120202,20120209,2012,02,02,2012,02,09,39.94794,39.297977,37.0,8.071814,1.1878386,65.154175,26030,6.0
3,20120210,20120217,2012,02,10,2012,02,17,39.922024,39.119167,36.799805,9.095243,1.2100401,82.72346,25712,7.0
4,20120218,20120225,2012,02,18,2012,02,25,44.967667,43.913082,41.0,11.399781,1.2254838,129.95502,21123,8.0
5,20120226,20120304,2012,02,26,2012,03,04,53.505997,46.974876,42.600098,67.45348,1.4405428,4549.9727,18337,12.39990234375
6,20120305,20120312,2012,03,05,2012,03,12,41.376488,40.44744,37.199707,10.434525,1.219622,108.879295,25720,8.2001953125
7,20120313,20120320,2012,03,13,2012,03,20,37.759716,37.07739,35.0,8.37992,1.1974491,70.22306,24764,8.0
8,20120321,20120328,2012,03,21,2012,03,28,35.99821,35.191868,33.799805,10.190826,1.2132618,103.85295,24138,7.60009765625
9,20120329,20120405,2012,03,29,2012,04,05,35.86145,34.96468,33.799805,9.997204,1.2300932,99.94408,24905,8.0
10,20120406,20120413,2012,04,06,2012,04,13,37.370415,36.16526,34.0,12.211351,1.2602689,149.11711,24553,7.80029296875
11,20120414,20120421,2012,04,14,2012,04,21,36.391605,35.61694,33.799805,9.059853,1.2112334,82.080925,22034,5.80029296875
12,20120422,20120429,2012,04,22,2012,04,29,35.353806,34.76304,33.0,7.499561,1.1875508,56.243416,25485,5.0
13,20120430,20120507,2012,04,30,2012,05,07,38.149273,37.641247,36.0,7.0345387,1.1678015,49.484734,13300,5.0
14,20120508,20120515,2012,05,08,2012,05,15,32.976517,32.49571,31.199707,6.728481,1.1713827,45.272453,24590,3.39990234375
15,20120516,20120523,2012,05,16,2012,05,23,35.023003,34.408466,32.600098,7.918475,1.1885033,62.702248,26025,3.39990234375
16,20120524,20120531,2012,05,24,2012,05,31,37.16175,36.726078,36.0,6.311056,1.1583618,39.82943,11911,5.60009765625
17,20120601,20120608,2012,06,01,2012,06,08,38.509644,37.88148,36.799805,7.8707714,1.1880275,61.94904,15618,6.39990234375
18,20120609,20120616,2012,06,09,2012,06,16,37.08251,36.8013,36.0,5.101579,1.1250813,26.02611,10018,3.7998046875
19,20120617,20120624,2012,06,17,2012,06,24,35.101078,34.53295,34.0,7.2264967,1.1867663,52.22225,18240,4.80029296875
20,20120625,20120702,2012,06,25,2012,07,02,33.985954,33.681824,32.600098,5.37717,1.1333894,28.913956,24504,3.39990234375
21,20120703,20120710,2012,07,03,2012,07,10,36.338,36.180534,36.0,3.4287913,1.0971578,11.756609,8928,4.60009765625
22,20120711,20120718,2012,07,11,2012,07,18,39.526253,38.910393,38.399902,7.8272243,1.1863097,61.26544,7275,7.80029296875
23,20120719,20120726,2012,07,19,2012,07,26,40.804714,40.45185,40.0,5.767728,1.1372029,33.266685,3829,6.2001953125
