,date,year,month,day,aot 550nm ocean mean,aot 550nm ocean std,aot 550 nm count,angstromm exponent ocean mean,angstrom exponent ocean std,fine mode fraction 550 nm ocean mean,fine mode fraction 550 nm ocean std,spectral aot ocean mean
0,2012-03-04,2012,03,04,0.15541017,0.028825462,63.38095238095238,0.29999968,0.11420529,0.26524755,0.06466324,0.13676673
1,2012-03-05,2012,03,05,0.07723343,0.016050378,213.66666666666666,0.394567,0.18089639,0.31657147,0.09671368,0.06751988
2,2012-03-06,2012,03,06,0.14599755,0.025533449,15.785714285714286,0.22464803,0.10060806,0.21136113,0.057570916,0.13228425
3,2012-03-07,2012,03,07,0.13954969,0.020726794,2.6666666666666665,0.06614147,0.088098794,0.13077195,0.042908773,0.1315861
4,2012-03-08,2012,03,08,0.100499004,0.0226378,34.976190476190474,0.9151895,0.21055087,0.5509143,0.0874183,0.07831722
5,2012-03-09,2012,03,09,0.10665043,0.010185789,253.9047619047619,0.43271852,0.07623293,0.34392187,0.03980009,0.09031869
6,2012-03-10,2012,03,10,0.0904966,0.010626951,246.0952380952381,0.37905246,0.114303194,0.3142854,0.061343033,0.07815327
7,2012-03-11,2012,03,11,0.10748852,0.011891185,22.166666666666668,0.8222203,0.21638492,0.50977445,0.09704573,0.08150096
8,2012-03-12,2012,03,12,0.10799722,0.028563604,23.214285714285715,1.0648926,0.30860797,0.6104398,0.13015875,0.079542264
9,2012-03-13,2012,03,13,0.12211598,0.028310142,49.42857142857143,0.7621739,0.26496097,0.48732692,0.11886029,0.09692879
10,2012-03-14,2012,03,14,0.106843315,0.020872187,50.476190476190474,0.8537031,0.2745747,0.5308316,0.12162809,0.081194535
11,2012-03-15,2012,03,15,0.06514241,0.013021642,157.28571428571428,1.0152304,0.29774565,0.5956587,0.12813154,0.046535887
12,2012-03-16,2012,03,16,0.0835054,0.022598673,34.04761904761905,1.0692829,0.2867277,0.6032938,0.12410642,0.06289957
