Unnamed: 0,start date,end_date,start year,start month,start day,end year,end month,end day,chl-a mean,chl-a geometric mean,chl-a median,chl-a std,chl-a geometric std,chl-a variance,chl-a N,chl-a IQR
0,20120117,20120124,2012,1,17,2012,1,24,0.13369903,0.12738347,0.12116853,0.044650737,1.3551927,0.0019936883,23691,0.0438719354569911
1,20120125,20120201,2012,1,25,2012,2,1,0.13306285,0.12677787,0.1176782,0.047394227,1.3404148,0.002246213,26046,0.0325117483735084
2,20120202,20120209,2012,2,2,2012,2,9,0.11485998,0.1102381,0.10353453,0.037004355,1.3135363,0.0013693224,26030,0.0322190783917903
3,20120210,20120217,2012,2,10,2012,2,17,0.11641329,0.11078879,0.105258405,0.041623358,1.3489099,0.001732504,25712,0.0359183270484209
4,20120218,20120225,2012,2,18,2012,2,25,0.11519725,0.10203679,0.098393485,0.06347536,1.6163135,0.0040291212,21123,0.0675559528172016
5,20120226,20120304,2012,2,26,2012,3,4,0.15201989,0.13847741,0.13673481,0.071569785,1.5335921,0.005122234,18337,0.0711669102311134
6,20120305,20120312,2012,3,5,2012,3,12,0.124633856,0.11775008,0.10765688,0.051725917,1.3710717,0.0026755705,25720,0.0457461047917604
7,20120313,20120320,2012,3,13,2012,3,20,0.086203046,0.08029877,0.07467866,0.042532966,1.4164227,0.0018090531,24764,0.0285818446427583
8,20120321,20120328,2012,3,21,2012,3,28,0.08279058,0.07517141,0.066404164,0.051693276,1.4919232,0.0026721947,24138,0.0401501404121518
9,20120329,20120405,2012,3,29,2012,4,5,0.08076779,0.07318378,0.066115476,0.050518688,1.4876764,0.002552138,24905,0.0370437465608119
10,20120406,20120413,2012,4,6,2012,4,13,0.086634964,0.077317975,0.06890896,0.059985742,1.514762,0.0035982893,24553,0.0301792211830616
11,20120414,20120421,2012,4,14,2012,4,21,0.079210095,0.071144104,0.06678167,0.04605909,1.5430365,0.00212144,22034,0.0373854078352451
12,20120422,20120429,2012,4,22,2012,4,29,0.075487256,0.070209906,0.06707497,0.035135485,1.4231694,0.0012345023,25485,0.0221174247562885
13,20120430,20120507,2012,4,30,2012,5,7,0.059061095,0.054574665,0.056252737,0.0278523,1.4654335,0.00077575067,13300,0.0295680640265345
14,20120508,20120515,2012,5,8,2012,5,15,0.07147495,0.06759591,0.062429883,0.031088123,1.347112,0.00096647145,24590,0.0136160468682646
15,20120516,20120523,2012,5,16,2012,5,23,0.076388314,0.07240564,0.06603279,0.033222113,1.3338735,0.0011037089,26025,0.0145424045622348
16,20120524,20120531,2012,5,24,2012,5,31,0.06313463,0.058984682,0.060423385,0.025391392,1.439703,0.0006447228,11911,0.0285187866538763
17,20120601,20120608,2012,6,1,2012,6,8,0.067940705,0.062475093,0.059770137,0.03451474,1.4632792,0.0011912673,15618,0.0198558429256081
18,20120609,20120616,2012,6,9,2012,6,16,0.06624797,0.06423263,0.06290219,0.018510902,1.2716758,0.0003426535,10018,0.0163111891597509
19,20120617,20120624,2012,6,17,2012,6,24,0.079957075,0.076892346,0.07565302,0.027035855,1.3007373,0.0007309374,18240,0.0155299510806798
20,20120625,20120702,2012,6,25,2012,7,2,0.06667564,0.064810075,0.06330521,0.02057429,1.2489098,0.00042330145,24504,0.0117928069084882
21,20120703,20120710,2012,7,3,2012,7,10,0.045933466,0.044600595,0.0458155,0.010926331,1.2817243,0.00011938471,8928,0.0133351329714059
22,20120711,20120718,2012,7,11,2012,7,18,0.053239357,0.047985554,0.047273148,0.03492804,1.5259938,0.0012199678,7275,0.0269714761525392
23,20120719,20120726,2012,7,19,2012,7,26,0.04294411,0.04043109,0.04056257,0.018916313,1.3880836,0.0003578269,3829,0.0156169943511486
24,20120727,20120803,2012,7,27,2012,8,3,0.037643325,0.035873264,0.037400715,0.011104379,1.3792061,0.00012330723,2785,0.0159429311752319
25,20120804,20120811,2012,8,4,2012,8,11,0.08073664,0.07040026,0.07390248,0.04175988,1.7226582,0.0017438873,4998,0.039908836595714
26,20120812,20120819,2012,8,12,2012,8,19,0.08925196,0.07825128,0.07208192,0.05380488,1.6277285,0.002894965,6563,0.0356995705515146
27,20120820,20120827,2012,8,20,2012,8,27,0.04787166,0.041617528,0.037298925,0.030986449,1.6515183,0.00096016005,2088,0.0261240415275096
28,20120828,20120904,2012,8,28,2012,9,4,0.08353046,0.075413406,0.07158775,0.04494815,1.5375634,0.0020203362,18150,0.0267399530857801
29,20120905,20120912,2012,9,5,2012,9,12,0.06365703,0.056900196,0.054612853,0.033577446,1.5848312,0.0011274449,7616,0.0251175248995423
30,20120913,20120920,2012,9,13,2012,9,20,0.074021354,0.06809844,0.06130607,0.03477663,1.4702532,0.0012094142,5477,0.0284211188554763
31,20120921,20120928,2012,9,21,2012,9,28,0.049884237,0.045279954,0.046349127,0.024732338,1.5361323,0.00061168853,3013,0.0258096680045127
