,start date,start year,start month,start day,start time,end time,angstrom mean,angstrom geometric mean,angstrom median,angstrom std,angstrom geometric std,angstrom variance,angstrom N
0,2025-01-04,2025,01,04,20:23:21.141Z,20:28:21.024Z,0.34347078,,0.19120002,0.37416238,,0.13999748,37504
1,2025-01-04,2025,01,04,22:01:41.228Z,22:06:40.935Z,0.68589395,,0.57290006,0.50597304,,0.25600874,1015
2,2025-01-05,2025,01,05,20:58:06.123Z,21:03:06.006Z,0.2249704,,0.25049996,0.40220216,,0.16176657,180937
3,2025-01-06,2025,01,06,19:54:26.105Z,19:59:25.987Z,0.21205981,,0.1999501,0.15235037,,0.023210634,10868
4,2025-01-06,2025,01,06,21:32:45.139Z,21:37:45.021Z,0.37353367,,0.3396001,0.3265989,,0.10666685,7588
5,2025-01-07,2025,01,07,20:29:10.209Z,20:34:09.916Z,0.28941435,,0.26769996,0.23538558,,0.05540637,43635
6,2025-01-07,2025,01,07,22:07:29.068Z,22:12:28.950Z,0.8408286,0.83374053,0.85450006,0.10609247,1.1535895,0.011255612,7
7,2025-01-08,2025,01,08,21:03:54.138Z,21:08:54.021Z,0.5048344,,0.44219995,0.44413257,,0.19725373,236420
8,2025-01-09,2025,01,09,20:00:19.209Z,20:05:18.916Z,0.65529203,,0.7147001,0.34720734,,0.120552935,29420
9,2025-01-09,2025,01,09,21:38:38.067Z,21:43:37.950Z,0.6859497,,0.69505006,0.37404522,,0.13990983,65484
10,2025-01-10,2025,01,10,20:35:03.138Z,20:40:03.020Z,0.90672773,,0.9547,0.4571074,,0.20894718,162849
11,2025-01-11,2025,01,11,21:09:46.189Z,21:14:45.896Z,0.43099314,,0.38680005,0.33965385,,0.11536474,144687
12,2025-01-12,2025,01,12,20:06:11.084Z,20:11:10.967Z,0.33004725,,0.31669998,0.23397504,,0.054744318,44096
13,2025-01-12,2025,01,12,21:44:30.118Z,21:49:30.001Z,0.29776233,,0.28520012,0.10773021,,0.011605798,18264
14,2025-01-13,2025,01,13,20:40:49.222Z,20:45:48.929Z,0.70878875,,0.6896,0.38539162,,0.1485267,45419
15,2025-01-14,2025,01,14,21:15:32.098Z,21:20:31.981Z,0.832296,,0.86230004,0.38725966,,0.14997005,107205
16,2025-01-15,2025,01,15,20:11:56.116Z,20:16:55.998Z,0.7021628,,0.71570003,0.3121451,,0.09743457,69411
17,2025-01-15,2025,01,15,21:50:15.150Z,21:55:15.032Z,0.6043017,,0.6190001,0.28293228,,0.08005067,22020
18,2025-01-16,2025,01,16,20:46:39.167Z,20:51:39.049Z,1.0562934,,1.1802,0.6755937,,0.45642683,152560
19,2025-01-17,2025,01,17,19:43:03.184Z,19:48:02.891Z,0.37572598,,0.35870004,0.2615764,,0.06842221,532
20,2025-01-17,2025,01,17,21:21:22.218Z,21:26:21.925Z,1.068882,,1.1507001,0.56682456,,0.32129008,37415
21,2025-01-18,2025,01,18,20:17:46.060Z,20:22:45.943Z,0.85574657,,0.7909,0.4961406,,0.24615549,5311
22,2025-01-18,2025,01,18,21:56:05.094Z,22:01:04.977Z,1.2779648,,1.3497,0.5102269,,0.26033148,2337
23,2025-01-19,2025,01,19,20:52:29.111Z,20:57:28.994Z,1.4535322,,1.5103,0.8992688,,0.80868435,35528
24,2025-01-20,2025,01,20,19:48:54.182Z,19:53:53.889Z,0.98212004,0.9745081,1.0124,0.11577967,1.1542456,0.013404931,5
25,2025-01-20,2025,01,20,21:27:13.215Z,21:32:12.922Z,0.9836587,,1.075,0.792381,,0.62786764,14918
26,2025-01-21,2025,01,21,20:23:37.057Z,20:28:36.940Z,,,,,,,0
27,2025-01-21,2025,01,21,22:01:56.091Z,22:06:55.974Z,,,,,,,0
28,2025-01-22,2025,01,22,20:58:20.108Z,21:03:19.991Z,0.5192383,,0.5256501,0.3767949,,0.1419744,256182
29,2025-01-23,2025,01,23,19:54:44.126Z,19:59:44.008Z,0.557176,,0.47600007,0.3854928,,0.1486047,19394
30,2025-01-23,2025,01,23,21:33:03.160Z,21:38:03.042Z,0.568942,,0.61520004,0.36557904,,0.13364804,83822
31,2025-01-24,2025,01,24,20:29:27.177Z,20:34:26.884Z,0.95213187,,0.96070004,0.43050176,,0.18533178,163798
32,2025-01-24,2025,01,24,22:07:46.211Z,22:12:45.918Z,0.37126184,,0.38330007,0.21249744,,0.04515516,1732
33,2025-01-25,2025,01,25,21:04:09.175Z,21:09:08.882Z,1.1233883,,1.2459,0.5585417,,0.31196883,70182
34,2025-01-26,2025,01,26,20:00:33.192Z,20:05:32.899Z,0.4360957,,0.43690014,0.21144849,,0.044710465,3511
35,2025-01-26,2025,01,26,21:33:52.168Z,21:38:52.051Z,0.45545262,,0.42575014,0.20559728,,0.042270243,196
36,2025-01-26,2025,01,26,21:38:52.226Z,21:43:51.933Z,0.86167747,,0.8310001,0.34428734,,0.11853376,9881
37,2025-01-27,2025,01,27,20:35:12.208Z,20:40:11.915Z,0.60884464,,0.6011001,0.2635886,,0.06947896,78862
38,2025-01-28,2025,01,28,21:09:54.206Z,21:14:53.913Z,0.6715264,,0.76890004,0.513577,,0.2637613,167561
39,2025-01-29,2025,01,29,20:06:18.223Z,20:11:17.930Z,0.420033,,0.41330004,0.22100213,,0.048841942,1089
