,start date,end date,start year,start month,start day,end year,end month,end day,chla mean,chla geometric mean,chla median,chla std,chla geometric std,chla variance,chla N,chla IQR
0,2024-03-05,2024-03-12,2024,03,05,2024,03,12,0.060553752,0.058685746,0.057315588,0.015549816,1.282235,0.00024179679,14760,0.020839566364884377
1,2024-03-13,2024-03-20,2024,03,13,2024,03,20,0.07178568,0.069003694,0.06980665,0.0198717,1.330306,0.0003948845,21290,0.02853468991816044
2,2024-03-21,2024-03-28,2024,03,21,2024,03,28,0.05475322,0.053297333,0.051694572,0.013200476,1.2575214,0.00017425256,23832,0.015745230950415134
3,2024-03-29,2024-04-05,2024,03,29,2024,04,05,0.057084776,0.05419005,0.052664425,0.018550185,1.3811224,0.0003441094,21939,0.03034847415983677
4,2024-04-06,2024-04-13,2024,04,06,2024,04,13,0.062425938,0.059528023,0.058068786,0.020087516,1.355341,0.00040350828,22307,0.026204494759440422
5,2024-04-14,2024-04-21,2024,04,14,2024,04,21,0.057482045,0.056418117,0.054103307,0.011673343,1.2084134,0.00013626694,20095,0.014666188508272171
6,2024-04-22,2024-04-29,2024,04,22,2024,04,29,0.045896597,0.044871625,0.044379663,0.0107192,1.2308317,0.00011490124,15877,0.012283485382795334
7,2024-04-30,2024-05-07,2024,04,30,2024,05,07,0.05282336,0.049327474,0.048541784,0.026568213,1.4109076,0.0007058699,7906,0.023385425098240376
8,2024-05-08,2024-05-15,2024,05,08,2024,05,15,0.05003508,0.04850088,0.04797487,0.012718928,1.2820004,0.00016177114,5804,0.01611084956675768
9,2024-05-16,2024-05-23,2024,05,16,2024,05,23,0.054674532,0.051481117,0.046989404,0.020030921,1.4045879,0.00040123783,3908,0.027614127844572067
10,2024-05-24,2024-05-31,2024,05,24,2024,05,31,0.061703153,0.060098354,0.05717785,0.023799231,1.2070962,0.00056640344,21748,0.009496588259935379
11,2024-06-01,2024-06-08,2024,06,01,2024,06,08,0.058282483,0.056793828,0.053849082,0.021574005,1.2222784,0.00046543768,4649,0.011315573006868362
12,2024-06-09,2024-06-16,2024,06,09,2024,06,16,0.060875263,0.055511836,0.051850636,0.043865606,1.4136602,0.0019241914,8233,0.006384413689374924
13,2024-06-17,2024-06-24,2024,06,17,2024,06,24,0.060848765,0.05636328,0.051598944,0.039797667,1.3702228,0.0015838543,19326,0.007228241302073002
14,2024-06-25,2024-07-02,2024,06,25,2024,07,02,0.059599694,0.058385387,0.057501182,0.012259762,1.2255521,0.00015030177,14652,0.013855911791324615
15,2024-07-03,2024-07-10,2024,07,03,2024,07,10,0.058031783,0.057162378,0.056660604,0.016736742,1.1591622,0.00028011852,11245,0.007863488048315048
16,2024-07-11,2024-07-18,2024,07,11,2024,07,18,0.057454094,0.053113077,0.051857352,0.023694662,1.4817033,0.000561437,1544,0.02745581418275833
17,2024-07-19,2024-07-26,2024,07,19,2024,07,26,0.062482744,0.060899124,0.06015955,0.016542621,1.239928,0.0002736583,8206,0.012433568947017193
18,2024-07-27,2024-08-03,2024,07,27,2024,08,03,0.054605406,0.052745167,0.05443097,0.014191041,1.3056396,0.00020138563,6557,0.020057175308465958
19,2024-08-04,2024-08-11,2024,08,04,2024,08,11,0.056352045,0.055266615,0.053810075,0.011447659,1.2161663,0.00013104889,12640,0.012200980447232723
20,2024-08-12,2024-08-19,2024,08,12,2024,08,19,0.06606254,0.061818704,0.05679346,0.032862373,1.3756174,0.0010799356,17541,0.012931101024150848
21,2024-08-20,2024-08-27,2024,08,20,2024,08,27,0.0642652,0.061056715,0.05794219,0.02824234,1.3225411,0.0007976298,28779,0.0117292869836092
22,2024-08-28,2024-09-04,2024,08,28,2024,09,04,0.06508632,0.05839555,0.054227777,0.04915513,1.4507767,0.002416227,16289,0.009461667388677597
23,2024-09-05,2024-09-12,2024,09,05,2024,09,12,0.0718903,0.06569421,0.061862662,0.04883884,1.4136553,0.0023852324,25252,0.01294848881661892
24,2024-09-13,2024-09-20,2024,09,13,2024,09,20,0.06634518,0.061108083,0.0560136,0.039138466,1.4115477,0.0015318196,26212,0.013502187095582485
