Unnamed: 0,start date,end date,start year,start month,start day,end year,end month,end day,Kd mean,Kd geometric mean,Kd median:,Kd std,Kd geometric std,Kd variance,Kd N
0,2024-03-05,2024-03-12,2024,3,5,2024,3,12,0.030181643,0.03012629,0.0298,0.0018610138,1.0619313,3.4633724e-06,12692
1,2024-03-13,2024-03-20,2024,3,13,2024,3,20,0.029471716,0.029441984,0.029399998,0.0013355833,1.0457817,1.7837826e-06,18899
2,2024-03-21,2024-03-28,2024,3,21,2024,3,28,0.0291761,0.029136835,0.029,0.0015268219,1.0530585,2.331185e-06,21214
3,2024-03-29,2024-04-05,2024,3,29,2024,4,5,0.029353162,0.029322451,0.029199999,0.0013519791,1.0466787,1.8278475e-06,19758
4,2024-04-06,2024-04-13,2024,4,6,2024,4,13,0.029269705,0.029239459,0.029199999,0.0013441601,1.046322,1.8067664e-06,19781
5,2024-04-14,2024-04-21,2024,4,14,2024,4,21,0.027498068,0.027458504,0.0274,0.0014980983,1.0547284,2.2442985e-06,17565
6,2024-04-22,2024-04-29,2024,4,22,2024,4,29,0.028286643,0.028254317,0.028199999,0.0013661884,1.0487555,1.8664707e-06,14189
7,2024-04-30,2024-05-07,2024,4,30,2024,5,7,0.028893372,0.028849905,0.029,0.0015892512,1.0563856,2.5257193e-06,6203
8,2024-05-08,2024-05-15,2024,5,8,2024,5,15,0.029161965,0.029139156,0.029,0.0011613199,1.0402368,1.348664e-06,5327
9,2024-05-16,2024-05-23,2024,5,16,2024,5,23,0.02823648,0.028201686,0.028199999,0.0014076917,1.0508454,1.9815961e-06,2774
10,2024-05-24,2024-05-31,2024,5,24,2024,5,31,0.025361981,0.025347238,0.0252,0.0009057068,1.0339637,8.203048e-07,19691
11,2024-06-01,2024-06-08,2024,6,1,2024,6,8,0.026252016,0.026231715,0.025999999,0.0010678532,1.0394883,1.1403104e-06,3514
12,2024-06-09,2024-06-16,2024,6,9,2024,6,16,0.02734768,0.027271692,0.0268,0.002394432,1.0717578,5.733305e-06,6747
13,2024-06-17,2024-06-24,2024,6,17,2024,6,24,0.025859026,0.0257663,0.0254,0.0026303793,1.0811342,6.9188955e-06,16657
14,2024-06-25,2024-07-02,2024,6,25,2024,7,2,0.02714995,0.027129322,0.026999999,0.0010733533,1.0394951,1.1520874e-06,12923
0,2024-07-03,2024-07-10,2024,7,3,2024,7,10,0.026681228,0.026671663,0.0266,0.0007184131,1.0270702,5.161174e-07,9354
1,2024-07-11,2024-07-18,2024,7,11,2024,7,18,0.030980121,0.030930044,0.030599998,0.001785349,1.0581862,3.187471e-06,1167
2,2024-07-19,2024-07-26,2024,7,19,2024,7,26,0.027996898,0.02797018,0.0278,0.001261649,1.0439982,1.591758e-06,6579
3,2024-07-27,2024-08-03,2024,7,27,2024,8,3,0.029280774,0.029238123,0.029199999,0.0015933203,1.0552919,2.5386696e-06,5633
4,2024-08-04,2024-08-11,2024,8,4,2024,8,11,0.028449126,0.028429953,0.0284,0.0010557156,1.0372177,1.1145355e-06,11997
5,2024-08-12,2024-08-19,2024,8,12,2024,8,19,0.029226137,0.029173294,0.029,0.0018807705,1.0600263,3.537298e-06,15518
0,2024-08-20,2024-08-27,2024,8,20,2024,8,27,0.028470881,0.028414832,0.028199999,0.0019386974,1.0623217,3.7585478e-06,25566
1,2024-08-28,2024-09-04,2024,8,28,2024,9,4,0.029708004,0.029541444,0.029,0.0036670265,1.103674,1.3447084e-05,14277
2,2024-09-05,2024-09-12,2024,9,5,2024,9,12,0.029246729,0.02910376,0.0286,0.0034479941,1.0953959,1.1888663e-05,22573
